Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category,distance
Peliyagoda,6.958491499999999,79.9055819,Cargills Food City,6.967021164651206,79.90677071904244,Grocery Store,0.9433006854356706
Mattakkuliya,6.971672200000001,79.87868329999998,Cargills Food City,6.971193149064558,79.87452572842761,Supermarket,0.05297854719016583
Dalugama,6.9752231,79.92066940000002,Cargills Food City,6.972643362568885,79.91747026175136,Convenience Store,0.2852948310016922
Kiribathgoda,6.9778284,79.92715229999997,Cargills Food City,6.982244951048568,79.93107177977586,Supermarket,0.4884293629522165
Wattala,6.9906677,79.8931709,Cargills Food City,6.984952295398992,79.88878022336115,Shopping Mall,0.6320706623022329
Kadawatha,7.0046719,79.9542002,Cargills Food City,7.001400633353049,79.94969844818115,Grocery Store,0.36177193996842577
Kandana,7.0477897,79.8970348,Cargills Food City,7.049616388582096,79.8964710753246,Supermarket,0.20201531323695263
Kolonnawa,6.9283595999999985,79.8949946,Cargills Food City - Kolonnawa,6.93263415736867,79.89193336253805,Department Store,0.4727251991994573
Kotikawatta,6.9345136,79.90597659999997,Cargills Wellampitiya,6.936555,79.906019,Fruit & Vegetable Store,0.2257593810559391
Kollupitiya,6.912815400000001,79.8506815,Carnival Ice Cream Parlour,6.9104977290400065,79.85005079431379,Ice Cream Shop,0.2563120590375117
Ragama,7.028003699999998,79.923,Casa Ragama,7.027523346124616,79.91683424119466,Asian Restaurant,0.05312276702746892
Welikada,6.9230071,79.8940806,Casons Rent-A-Car,6.918748873512957,79.8880089219541,Rental Car Location,0.47091896966739627
Nawala,6.896419099999999,79.8884819,Celcius Luxury Bedding,6.890746715459237,79.8889602899496,Furniture / Home Store,0.6273105576084003
Fort (Colombo),6.9337011,79.8500302,Cey-Nor,6.930717883016009,79.85482372476922,Seafood Restaurant,0.3299153158575516
Mattakkuliya,6.971672200000001,79.87868329999998,Champions Gym,6.971669299869506,79.8741254333756,Gym,0.000320727276628317
Pamankada,6.8776324,79.8713074,Chana's,6.875962386251636,79.86289497632116,Indian Restaurant,0.18468714779632245
Malabe,6.906078699999999,79.9696277,Chandrika Kumarathunga Mawatha Jogging Track,6.9078610000000005,79.96226999999999,Track,0.1971051547332793
Maha Nuge Gardens,6.916688400000001,79.8491938,Cheers Pub,6.917528233059549,79.84896417798491,Pub,0.09287745914800745
Malabe,6.906078699999999,79.9696277,Chef Food City,6.909827177215138,79.97140030813551,Convenience Store,0.4145453694133969
Wellawatte,6.8740921,79.8604934,Chillax Garden Pub,6.8777791931874,79.85714336609405,Cocktail Bar,0.4077563437168651
Bambalapitiya,6.904361,79.8540397,China Town Restaurant,6.9046826091649605,79.85014238586889,Restaurant,0.035566861768354524
Ja-Ela,7.0667984,79.9040932,Chineese Food,7.0698669125071385,79.90988778018131,Chinese Restaurant,0.33935014515969625
Dehiwala,6.8301185,79.8800832,Chinese Dragon Cafe,6.832365850323153,79.88148734242594,Chinese Restaurant,0.24853444250492995
Havelock Town,6.8866519,79.8646835,Chinese Dragon Cafe,6.886207132010223,79.8566911952503,Chinese Restaurant,0.04918699893165693
Pelawatte,6.8905834000000015,79.924918,Chinese Dragon Cafe,6.889260828636567,79.92968179097096,Chinese Restaurant,0.1462635064090648
Rajagiriya,6.909410799999999,79.8942538,Chinese Dragon Cafe,6.907735642950415,79.89996588484925,Chinese Restaurant,0.18525619234635496
Wattala,6.9906677,79.8931709,Chinese Dragon Cafe,6.994553383519003,79.8955500125885,Chinese Restaurant,0.42972059303861543
Borella,6.9121796,79.8828828,Choco Luv,6.909549494973249,79.87427958595659,Café,0.290864244394156
Wellawatte,6.8740921,79.8604934,Choco Luv Express,6.876775426025281,79.86044759194054,Café,0.2967495342746579
Kohuwala,6.862484200000001,79.8854983,Chopsticks,6.856672388153927,79.89032452917017,Chinese Restaurant,0.64272895070606
Nawala,6.896419099999999,79.8884819,Chopsticks,6.888525280089191,79.88751598546303,Karaoke Bar,0.8729796621922682
Fort (Colombo),6.9337011,79.8500302,Churros,6.9327850886694575,79.84206315455594,Café,0.1013021118431591
Maha Nuge Gardens,6.916688400000001,79.8491938,Chutneys,6.918495038392762,79.84893658108895,South Indian Restaurant,0.1997968346337734
Kotahena,6.9487664,79.86048309999998,Cine World,6.945803202848032,79.86231262853609,Multiplex,0.3277015212889596
Colombo,6.927078599999999,79.861243,Cinecity Cinema Complex,6.929684609004339,79.86333644612938,Multiplex,0.2881996684180382
Maha Nuge Gardens,6.916688400000001,79.8491938,Cinnamon Grand Colombo,6.917829089149349,79.84862005687395,Hotel,0.12614924994027937
Maha Nuge Gardens,6.916688400000001,79.8491938,Cinnamon Grand Colombo Hotel - Colombo Sri Lanka,6.918521746650781,79.84825425114816,Resort,0.2027505112727252
Slave Island,6.9257119000000005,79.8503314,Cinnamon Lake Pool Side,6.929256867109965,79.85006494802859,Pool,0.3920394386466385
Slave Island,6.9257119000000005,79.8503314,Cinnamon Lakeside,6.928972713627561,79.84954734426172,Hotel,0.3606147805609793
